NAMESPACE                     LAST SEEN   TYPE      REASON                                   OBJECT                                                             MESSAGE
default                       40m         Warning   NodeRegistrationCheckerStart             node/gke-portable-voting-default-pool-2393733d-3flq                Thu Aug 20 10:11:00 UTC 2026 - ** Starting Node Registration Checker **
default                       40m         Warning   KubeletStart                             node/gke-portable-voting-default-pool-2393733d-3flq                Started kubelet.service.
default                       40m         Warning   NodeSysctlChange                         node/gke-portable-voting-default-pool-2393733d-3flq                Node condition SysctlChanged is now: True, reason: NodeSysctlChange, message: "{\"unmanaged\": {\"kernel.cad_pid\": \"1\"}}"
kube-system                   40m         Normal    SuccessfulCreate                         daemonset/node-local-dns                                           Created pod: node-local-dns-6t5fg
kube-system                   39m         Warning   FailedScheduling                         pod/event-exporter-gke-7dc55f4f5f-6k5kj                            0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
gke-managed-cim               39m         Warning   FailedScheduling                         pod/kube-state-metrics-0                                           0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
default                       39m         Normal    RegisteredNode                           node/gke-portable-voting-default-pool-2393733d-3flq                Node gke-portable-voting-default-pool-2393733d-3flq event: Registered Node gke-portable-voting-default-pool-2393733d-3flq in Controller
kube-system                   39m         Warning   FailedScheduling                         pod/konnectivity-agent-autoscaler-685569f784-wxl9g                 0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
default                       41m         Normal    NodeAllocatableEnforced                  node/gke-portable-voting-default-pool-2393733d-3flq                Updated Node Allocatable limit across pods
default                       40m         Normal    NodeHasNoDiskPressure                    node/gke-portable-voting-default-pool-2393733d-3flq                Node gke-portable-voting-default-pool-2393733d-3flq status is now: NodeHasNoDiskPressure
default                       41m         Normal    Starting                                 node/gke-portable-voting-default-pool-2393733d-3flq                Starting kubelet.
kube-system                   39m         Warning   FailedScheduling                         pod/metrics-server-v1.35.1-6559d8569d-c2m47                        0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
default                       40m         Normal    NodeHasSufficientPID                     node/gke-portable-voting-default-pool-2393733d-3flq                Node gke-portable-voting-default-pool-2393733d-3flq status is now: NodeHasSufficientPID
default                       40m         Normal    NodeHasSufficientMemory                  node/gke-portable-voting-default-pool-2393733d-3flq                Node gke-portable-voting-default-pool-2393733d-3flq status is now: NodeHasSufficientMemory
default                       41m         Warning   InvalidDiskCapacity                      node/gke-portable-voting-default-pool-2393733d-3flq                invalid capacity 0 on image filesystem
kube-system                   39m         Warning   FailedScheduling                         pod/kube-dns-autoscaler-5dc7b666d8-wp4pz                           0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
gmp-system                    39m         Warning   FailedScheduling                         pod/gmp-operator-6875fdf876-rlwlh                                  0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system                   39m         Normal    LeaderElection                           lease/external-resizer-pd-csi-storage-gke-io                       gke-a4ad5f791ee9462391e0-79d6-e40e-vm became leader
gmp-system                    39m         Warning   FailedScheduling                         pod/rule-evaluator-79c78c4fd5-4q9kw                                0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system                   39m         Warning   FailedMount                              pod/node-local-dns-6t5fg                                           MountVolume.SetUp failed for volume "config-volume" : object "kube-system"/"node-local-dns" not registered
gmp-system                    39m         Warning   FailedScheduling                         pod/alertmanager-0                                                 0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system                   39m         Normal    LeaderElection                           lease/external-attacher-leader-pd-csi-storage-gke-io               gke-a4ad5f791ee9462391e0-79d6-e40e-vm became leader
kube-system                   39m         Normal    LeaderElection                           lease/pd-csi-storage-gke-io                                        1787220640589-1996-pd-csi-storage-gke-io became leader
gmp-system                    39m         Warning   NetworkNotReady                          pod/collector-f27hc                                                network is not ready: container runtime network not ready: NetworkReady=false reason:NetworkPluginNotReady message:Network plugin returns error: cni plugin not initialized
gmp-system                    39m         Warning   FailedMount                              pod/collector-f27hc                                                MountVolume.SetUp failed for volume "config" : object "gmp-system"/"collector" not registered
gmp-system                    39m         Warning   FailedMount                              pod/collector-f27hc                                                MountVolume.SetUp failed for volume "collection-secret" : object "gmp-system"/"collection" not registered
gmp-system                    39m         Warning   FailedMount                              pod/collector-f27hc                                                MountVolume.SetUp failed for volume "kube-api-access-4hhpt" : object "gmp-system"/"kube-root-ca.crt" not registered
